solution_id,model_type,regularization,learning_rate,n_estimators,max_depth,class_weight_ratio,threshold,balanced_accuracy,dp_violation,model_complexity,demographic_parity,obj1_min,obj2_min,obj3_min
205,RandomForest,0.0006473915535554222,0.017923641602824468,60,3,1.10140297366183,0.6621402567824255,0.5456045755750963,0.06526806526806528,0.3347008547008547,0.9347319347319347,0.45439542442490366,0.06526806526806528,0.3347008547008547
206,LogisticRegression,8.573351203969093,0.11299288210203001,61,11,3.069785407020165,0.4925376606541294,0.5606051334842688,0.1336032388663968,0.05179673212160678,0.8663967611336032,0.43939486651573123,0.1336032388663968,0.05179673212160678
207,LogisticRegression,4.798010910675292,0.005243642585941341,118,4,4.5692099925586085,0.5363571772752966,0.5348873203442479,0.09949699423383629,0.05308313391653621,0.9005030057661637,0.4651126796557521,0.09949699423383629,0.05308313391653621
208,XGBoost,0.03646018666075518,0.07364370622916676,79,6,1.5082420506075391,0.6985335664226967,0.6346828736281733,0.14869341185130658,0.5118806975007243,0.8513065881486934,0.3653171263718267,0.14869341185130658,0.5118806975007243
209,RandomForest,0.027436919124852747,0.017923641602824468,61,3,1.10140297366183,0.6746919954946937,0.5362155041159299,0.05312231628021102,0.33547863247863247,0.946877683719789,0.4637844958840701,0.05312231628021102,0.33547863247863247
210,LogisticRegression,0.5199552811430955,0.05275336086037284,118,3,1.10140297366183,0.6985335664226967,0.5950083326434457,0.10661268556005397,0.06746974097260283,0.893387314439946,0.40499166735655434,0.10661268556005397,0.06746974097260283
211,RandomForest,4.798010910675292,0.005243642585941341,113,4,1.10140297366183,0.6897579230664665,0.5516407928789193,0.07091154459575512,0.40284615384615385,0.9290884554042449,0.4483592071210807,0.07091154459575512,0.40284615384615385
212,RandomForest,1.0784642153666706,0.05493113837674267,79,4,1.073562706189867,0.6657195226241995,0.581373752353117,0.1174089068825911,0.37640170940170936,0.8825910931174089,0.41862624764688305,0.1174089068825911,0.37640170940170936
213,RandomForest,0.9860891468435591,0.00821889468558391,55,2,1.10140297366183,0.6897579230664665,0.5224675422841162,0.032879401300453935,0.3038888888888889,0.967120598699546,0.4775324577158838,0.032879401300453935,0.3038888888888889
214,XGBoost,0.00013230608911548417,0.019870675169101744,61,3,1.10140297366183,0.6746919954946937,0.5545473196963534,0.06858054226475278,0.4691062205140669,0.9314194577352473,0.4454526803036466,0.06858054226475278,0.4691062205140669
