solution_id,model_type,model_type_int,regularization,learning_rate,n_estimators,max_depth,class_weight_ratio,threshold,balanced_accuracy,dp_violation,model_complexity,demographic_parity,obj1_min,obj2_min,obj3_min
11,XGBoost,2,0.6926579209431384,0.08107780102015971,55,6,1.9502947307159095,0.685756242727538,0.6512149822008977,0.25150288308183044,0.493507299902311,0.7484971169181696,0.3487850177991023,0.25150288308183044,0.493507299902311
12,XGBoost,2,5.263962812781974,0.0877849958572756,109,7,1.5063435962949927,0.6237915291561485,0.6506552733215032,0.22733406943933257,0.5420369722422064,0.7726659305606675,0.3493447266784968,0.22733406943933257,0.5420369722422064
13,LogisticRegression,0,0.05044143836860726,0.25612663262384044,290,2,1.9662931267980146,0.3397294055107414,0.5409253373550786,0.10550852656115806,0.09944637754883637,0.8944914734388419,0.45907466264492136,0.10550852656115806,0.09944637754883637
14,XGBoost,2,5.718656860473899,0.2979745046977891,299,3,1.046674099549476,0.6888235128254779,0.614675530823582,0.13605692553060975,0.41278347356429773,0.8639430744693902,0.38532446917641805,0.13605692553060975,0.41278347356429773
15,RandomForest,1,6.2216693718433564,0.27438118002090106,63,2,1.2039555120128127,0.6614227740020874,0.5311853230294108,0.03337013863329653,0.3101111111111111,0.9666298613667035,0.4688146769705892,0.03337013863329653,0.3101111111111111
16,LogisticRegression,0,0.014659382922736539,0.2774680134116233,165,2,2.4183117650867527,0.36074297406525585,0.530861375768025,0.08097165991902833,0.11900692279649888,0.9190283400809717,0.46913862423197505,0.08097165991902833,0.11900692279649888
17,LogisticRegression,0,0.014659382922736539,0.2771528944318457,165,2,2.4196912799137675,0.36074297406525585,0.530861375768025,0.08097165991902833,0.11900692279649888,0.9190283400809717,0.46913862423197505,0.08097165991902833,0.11900692279649888
18,RandomForest,1,1.097404403118813,0.27433629754965816,136,3,1.905942057327862,0.37052598693283834,0.5035778175313059,0.009324009324009341,0.3938119658119658,0.9906759906759907,0.4964221824686941,0.009324009324009341,0.3938119658119658
19,LogisticRegression,0,0.3068418991869004,0.26587035103001716,75,4,2.452189928415369,0.37163849970459417,0.5342160296303762,0.09569377990430628,0.07359880834145544,0.9043062200956937,0.4657839703696238,0.09569377990430628,0.07359880834145544
20,RandomForest,1,4.405370119599695,0.18560172968864833,345,2,1.1083239575670576,0.6622041070232664,0.5274977233706353,0.029076186970923817,0.5294444444444444,0.9709238130290762,0.4725022766293647,0.029076186970923817,0.5294444444444444
21,RandomForest,1,0.2563834990098579,0.07903210340503827,70,2,1.338757122803686,0.6829780804115049,0.5311853230294108,0.03337013863329653,0.31555555555555553,0.9666298613667035,0.4688146769705892,0.03337013863329653,0.31555555555555553
22,XGBoost,2,9.917910577401853,0.01590567798773526,79,2,1.0154384167752235,0.6689511459847876,0.5131900526594271,0.004293951662372713,0.4587174311194262,0.9957060483376273,0.4868099473405729,0.004293951662372713,0.4587174311194262
23,RandomForest,1,0.36930133718193403,0.28466721839512865,372,2,1.497538872958552,0.6992266815921394,0.5402396489851452,0.055576002944424,0.5504444444444444,0.944423997055576,0.4597603510148548,0.055576002944424,0.5504444444444444
24,LogisticRegression,0,0.16809668406555112,0.2854796344752683,150,2,2.3083578584712496,0.37052598693283834,0.539248010423903,0.10011041589988956,0.08157164390493954,0.8998895841001104,0.460751989576097,0.10011041589988956,0.08157164390493954
25,XGBoost,2,8.858233955685257,0.0320284180019684,55,2,1.0114330268329768,0.6635215636332913,0.5532065379756176,0.05349036927984297,0.43445342659000263,0.946509630720157,0.4467934620243824,0.05349036927984297,0.43445342659000263
26,RandomForest,1,6.0999134457038,0.2975157249490638,53,2,1.2035311267540902,0.6379700343031296,0.5467221936268776,0.06220095693779905,0.30233333333333334,0.937799043062201,0.4532778063731224,0.06220095693779905,0.30233333333333334
27,LogisticRegression,0,0.08930759024988877,0.295318225851126,163,2,1.0324041338758652,0.6381132665135705,0.6285404736108962,0.1645196908354803,0.09073438870364997,0.8354803091645198,0.37145952638910384,0.1645196908354803,0.09073438870364997
28,XGBoost,2,8.711871481759687,0.28623920327958524,108,8,1.0414185492842485,0.6894948708052359,0.6105362047058739,0.14538093485461906,0.43001311439251644,0.8546190651453809,0.3894637952941261,0.14538093485461906,0.43001311439251644
29,RandomForest,1,6.224316153489067,0.298652196911602,53,2,1.2035311267540902,0.6707228213498787,0.5329742317950638,0.03410624463256042,0.30233333333333334,0.9658937553674396,0.46702576820493624,0.03410624463256042,0.30233333333333334
30,RandomForest,1,0.8593824038999203,0.26779683470805277,50,2,1.3417567821267158,0.6519399480755619,0.5487342660614851,0.06146485093853515,0.3,0.9385351490614648,0.4512657339385149,0.06146485093853515,0.3
31,LogisticRegression,0,0.11140870645783452,0.2931129994490712,149,3,1.9580349886682884,0.37052598693283834,0.5507661352731775,0.13151760520181566,0.08746039315580262,0.8684823947981843,0.4492338647268225,0.13151760520181566,0.08746039315580262
32,RandomForest,1,6.100685619303143,0.2214064450284563,58,3,1.2077194639967153,0.6628606855764262,0.5558881014170893,0.07974481658692185,0.33314529914529917,0.9202551834130781,0.44411189858291067,0.07974481658692185,0.33314529914529917
33,RandomForest,1,6.145952089048276,0.03440015441088979,53,3,1.1203112014970569,0.66462966670593,0.5466106117924002,0.0668629615998037,0.3292564102564103,0.9331370384001962,0.4533893882075998,0.0668629615998037,0.3292564102564103
34,RandomForest,1,1.0156297699631747,0.015881958472832493,54,2,1.0934681451746266,0.5992980160095791,0.5571173013033478,0.07594160225739173,0.3031111111111111,0.9240583977426082,0.4428826986966522,0.07594160225739173,0.3031111111111111
35,LogisticRegression,0,0.005390475970746267,0.2994695917290517,156,2,2.2207361228291624,0.6373051167825701,0.6396842594025693,0.280333701386333,0.13515061250167756,0.719666298613667,0.36031574059743066,0.280333701386333,0.13515061250167756
36,XGBoost,2,7.194459293507853,0.2640020896106043,302,5,1.391713167014523,0.5973030217601939,0.6372366578720985,0.20377867746288802,0.4836361322066307,0.796221322537112,0.3627633421279015,0.20377867746288802,0.4836361322066307
37,XGBoost,2,8.652669720503361,0.0220487975412442,53,2,1.0922277697130938,0.5972298975683837,0.6047339493130518,0.10121457489878544,0.4401081598590435,0.8987854251012146,0.3952660506869482,0.10121457489878544,0.4401081598590435
38,LogisticRegression,0,5.655748650044616,0.28195287217305154,64,7,1.248848362693714,0.6671123958669405,0.6289868009488055,0.16550116550116548,0.05265147667196541,0.8344988344988346,0.37101319905119445,0.16550116550116548,0.05265147667196541
