solution_id,model_type,model_type_int,regularization,learning_rate,n_estimators,max_depth,class_weight_ratio,threshold,balanced_accuracy,dp_violation,eo_violation,demographic_parity,equalized_odds,obj1_min,obj2_min,obj3_min
33,XGBoost,2,1.0069245402951303,0.17699267758181078,129,12,1.4092898830483112,0.6554825438537359,0.6124204979429348,0.11458716721874612,0.14198596869940633,0.8854128327812538,0.8580140313005937,0.38757950205706515,0.11458716721874612,0.14198596869940633
34,LogisticRegression,0,6.899451656167275,0.2630387186503486,361,10,4.074589967670628,0.3479129956223067,0.5080500894454383,0.00920132499079862,0.01316602316602311,0.9907986750092014,0.9868339768339769,0.4919499105545617,0.00920132499079862,0.01316602316602311
35,XGBoost,2,1.0823832531030653,0.2692713904628547,142,7,1.26150058303291,0.535188527971219,0.6164392436911271,0.16697337749969332,0.20079150926425615,0.8330266225003067,0.7992084907357438,0.3835607563088729,0.16697337749969332,0.20079150926425615
36,XGBoost,2,0.2900921320943738,0.0656701258525054,134,12,1.7928169088515915,0.664255290852354,0.6247178959265431,0.1601030548398969,0.16033459255261734,0.839896945160103,0.8396654074473826,0.37528210407345686,0.1601030548398969,0.16033459255261734
37,XGBoost,2,0.2900921320943738,0.0656701258525054,134,12,1.7928169088515915,0.664255290852354,0.6247178959265431,0.1601030548398969,0.16033459255261734,0.839896945160103,0.8396654074473826,0.37528210407345686,0.1601030548398969,0.16033459255261734
38,LogisticRegression,0,7.733085818497235,0.23955887750001031,485,6,3.3603035814332367,0.33801967902576047,0.5116279069767442,0.018525334314807962,0.028610038610038635,0.981474665685192,0.9713899613899614,0.4883720930232558,0.018525334314807962,0.028610038610038635
39,XGBoost,2,0.23267865729126203,0.03911907336948428,141,7,4.893160207854406,0.3251324073662826,0.520685832346494,0.021837811311495536,0.023295556754811986,0.9781621886885045,0.976704443245188,0.479314167653506,0.021837811311495536,0.023295556754811986
40,RandomForest,1,9.018958633082633,0.04051352157547029,405,8,1.2673333160547,0.49665960012406624,0.6524315841381023,0.30793767635872893,0.28452959165317504,0.6920623236412711,0.715470408346825,0.3475684158618977,0.30793767635872893,0.28452959165317504
41,RandomForest,1,9.92191970333956,0.12527577358480704,332,5,2.468387100663191,0.32711005885221506,0.5008944543828264,0.002331002331002363,0.0038610038610038533,0.9976689976689976,0.9961389961389961,0.4991055456171736,0.002331002331002363,0.0038610038610038533
42,XGBoost,2,0.3379567555517526,0.07311488109955852,182,8,1.7874437296331622,0.638056058445924,0.6362306216547946,0.1864801864801865,0.19726569526893328,0.8135198135198135,0.8027343047310667,0.3637693783452054,0.1864801864801865,0.19726569526893328
